Regionalschluessel;Name;Breitengrad;Laengengrad
010535313014;Breitenfelde;53.600905;10.624
010535313037;Grambek;53.566922;10.695064
010535313056;Hornbek;53.554664;10.654058
010535313084;Lehmrade;53.586327;10.738157
010535313095;Niendorf/Stecknitz;53.586425;10.601728
010535313113;Schretstaken;53.58899;10.541896
010535313125;Talkau;53.571476;10.57162
010535313134;Woltersdorf;53.574231;10.650889
010535318010;Besenthal;53.537267;10.730742
010535318015;Bröthen;53.473681;10.671108
010535318020;Büchen;53.484332;10.619949
010535318029;Fitzen;53.506217;10.651767
010535318035;Göttin;53.533244;10.705944
010535318046;Gudow;53.552675;10.78607
010535318048;Güster;53.532546;10.672725
010535318064;Klein Pampau;53.511575;10.586723
010535318080;Langenlehsten;53.497441;10.725179
010535318092;Müssen;53.496403;10.544589
010535318104;Roseburg;53.535794;10.614932
010535318115;Schulendorf;53.475101;10.550537
010535318119;Siebeneichen;53.511287;10.614125
010535318126;Tramm;53.562903;10.608766
010535318132;Witzeeze;53.457574;10.600858
010535323003;Aumühle;53.525734;10.322182
010535323012;Börnsen;53.476277;10.281891
010535323023;Dassendorf;53.494557;10.37146
010535323028;Escheburg;53.463102;10.314793
010535323050;Hamwarde;53.45105;10.422436
010535323053;Hohenhorn;53.472046;10.372908
010535323072;Kröppelshagen-Fahrendorf;53.47976;10.331869
010535323131;Wiershop;53.440827;10.447916
010535323133;Wohltorf;53.513029;10.288862
010535323135;Worth;53.470148;10.409383
010535343006;Basedow;53.418917;10.582872
010535343019;Buchhorst;53.391741;10.569389
010535343022;Dalldorf;53.43326;10.608617
010535343058;Juliusburg;53.420037;10.509725
010535343073;Krüzen;53.406418;10.534337
010535343074;Krukow;53.418132;10.478404
010535343082;Lanze;53.393194;10.601617
010535343087;Lütau;53.432111;10.551914
010535343111;Schnakenbek;53.391451;10.484391
010535343128;Wangelau;53.453211;10.543397
010535358001;Albsfelde;53.680855;10.698417
010535358004;Bäk;53.725392;10.789678
010535358016;Brunsmark;53.6125;10.735266
010535358018;Buchholz;53.731488;10.734507
010535358026;Einhaus;53.719533;10.724151
010535358030;Fredeburg;53.658557;10.73072
010535358033;Giesensdorf;53.688519;10.715592
010535358040;Groß Disnack;53.736572;10.689619
010535358041;Groß Grönau;53.807845;10.743784
010535358043;Groß Sarau;53.775714;10.725372
010535358051;Harmsdorf;53.706978;10.718047
010535358054;Hollenbek;53.588919;10.825165
010535358057;Horst;53.622627;10.770344
010535358062;Kittlitz;53.665279;10.921426
010535358066;Klein Zecher;53.579508;10.867688
